MAE 2 11
MAE 2 12
MAE 2 14
MAE 2 15
MAE 2 28
MAE 2 31
MAE 2 37
MAE 14 1
MAE 14 23
MAE 16 7
MAE 16 14
MAE 16 20
MVE 18
MAE 19 34
MAE 20 3
MAE 20 7
MAE 20 9
MAE 20 14
MAE 20 16
MAE 20 18
MAE 20 25
MAE 20 32
MAE 20 35
MAE 20 38
MAE 32 7
MAE 32 20
MAE 32 38
MAE 34 19
MAE 34 23
MAE 39 34
SAE 25 1 5
SAE 25 1 9
SAE 25 1 17
SAE 25 1 29
SAE 25 1 3
SAE 25 1 10
SAE 25 1 7
SAE 25 1 33
SAE 25 1 23
SAE 25 1 6
SAE 25 1 22
SAE 25 1 35
SAE 25 1 27
SAE 25 1 40
SAE 25 1 36
SAE 25 1 38
SAE 25 2 5
SAE 25 2 9
SAE 25 2 17
SAE 25 2 1
SAE 25 2 29
SAE 25 2 3
SAE 25 2 10
SAE 25 2 7
SAE 25 2 33
SAE 25 2 23
SAE 25 2 6
SAE 25 2 22
SAE 25 2 35
SAE 25 2 27
SAE 25 2 40
SAE 25 2 36
SAE 25 2 38
SAE 25 4 5
SAE 25 4 9
SAE 25 4 17
SAE 25 4 1
SAE 25 4 29
SAE 25 4 3
SAE 25 4 10
SAE 25 4 7
SAE 25 4 33
SAE 25 4 23
SAE 25 4 6
SAE 25 4 22
SAE 25 4 35
SAE 25 4 27
SAE 25 4 40
SAE 25 4 36
SAE 25 4 38
SAE 25 7 5
SAE 25 7 9
SAE 25 7 17
SAE 25 7 1
SAE 25 7 29
SAE 25 7 3
SAE 25 7 10
SAE 25 7 33
SAE 25 7 23
SAE 25 7 6
SAE 25 7 22
SAE 25 7 35
SAE 25 7 27
SAE 25 7 40
SAE 25 7 36
SAE 25 7 38
SAE 25 9 5
SAE 25 9 17
SAE 25 9 1
SAE 25 9 29
SAE 25 9 3
SAE 25 9 10
SAE 25 9 7
SAE 25 9 33
SAE 25 9 23
SAE 25 9 6
SAE 25 9 22
SAE 25 9 35
SAE 25 9 27
SAE 25 9 40
SAE 25 9 36
SAE 25 9 38
SAE 25 10 5
SAE 25 10 9
SAE 25 10 17
SAE 25 10 1
SAE 25 10 29
SAE 25 10 3
SAE 25 10 7
SAE 25 10 33
SAE 25 10 23
SAE 25 10 6
SAE 25 10 22
SAE 25 10 35
SAE 25 10 27
SAE 25 10 40
SAE 25 10 36
SAE 25 10 38
SAE 25 12 5
SAE 25 12 9
SAE 25 12 17
SAE 25 12 1
SAE 25 12 29
SAE 25 12 3
SAE 25 12 10
SAE 25 12 7
SAE 25 12 33
SAE 25 12 23
SAE 25 12 6
SAE 25 12 22
SAE 25 12 35
SAE 25 12 27
SAE 25 12 40
SAE 25 12 36
SAE 25 12 38
SAE 25 14 5
SAE 25 14 9
SAE 25 14 17
SAE 25 14 1
SAE 25 14 29
SAE 25 14 3
SAE 25 14 10
SAE 25 14 7
SAE 25 14 33
SAE 25 14 23
SAE 25 14 6
SAE 25 14 22
SAE 25 14 35
SAE 25 14 27
SAE 25 14 40
SAE 25 14 36
SAE 25 14 38
SAE 25 16 5
SAE 25 16 9
SAE 25 16 17
SAE 25 16 1
SAE 25 16 29
SAE 25 16 3
SAE 25 16 10
SAE 25 16 7
SAE 25 16 33
SAE 25 16 23
SAE 25 16 6
SAE 25 16 22
SAE 25 16 35
SAE 25 16 27
SAE 25 16 40
SAE 25 16 36
SAE 25 16 38
SAE 25 20 5
SAE 25 20 9
SAE 25 20 17
SAE 25 20 1
SAE 25 20 29
SAE 25 20 3
SAE 25 20 10
SAE 25 20 7
SAE 25 20 33
SAE 25 20 23
SAE 25 20 6
SAE 25 20 22
SAE 25 20 35
SAE 25 20 27
SAE 25 20 40
SAE 25 20 36
SAE 25 20 38
SAE 25 32 5
SAE 25 32 9
SAE 25 32 17
SAE 25 32 1
SAE 25 32 29
SAE 25 32 3
SAE 25 32 10
SAE 25 32 7
SAE 25 32 33
SAE 25 32 23
SAE 25 32 6
SAE 25 32 22
SAE 25 32 35
SAE 25 32 27
SAE 25 32 40
SAE 25 32 36
SAE 25 32 38
SAE 5 1 25
SAE 5 1 9
SAE 5 1 17
SAE 5 1 29
SAE 5 1 3
SAE 5 1 10
SAE 5 1 7
SAE 5 1 33
SAE 5 1 23
SAE 5 1 6
SAE 5 1 22
SAE 5 1 35
SAE 5 1 27
SAE 5 1 40
SAE 5 1 36
SAE 5 1 38
SAE 5 2 25
SAE 5 2 9
SAE 5 2 17
SAE 5 2 1
SAE 5 2 29
SAE 5 2 3
SAE 5 2 10
SAE 5 2 7
SAE 5 2 33
SAE 5 2 23
SAE 5 2 6
SAE 5 2 22
SAE 5 2 35
SAE 5 2 27
SAE 5 2 40
SAE 5 2 36
SAE 5 2 38
SAE 5 4 25
SAE 5 4 9
SAE 5 4 17
SAE 5 4 1
SAE 5 4 29
SAE 5 4 3
SAE 5 4 10
SAE 5 4 7
SAE 5 4 33
SAE 5 4 23
SAE 5 4 6
SAE 5 4 22
SAE 5 4 35
SAE 5 4 27
SAE 5 4 40
SAE 5 4 36
SAE 5 4 38
SAE 5 10 25
SAE 5 10 9
SAE 5 10 17
SAE 5 10 1
SAE 5 10 29
SAE 5 10 3
