MAE 1 6
MAE 1 7
MAE 1 9
MAE 1 11
MAE 1 13
MAE 1 17
MAE 1 19
MAE 1 20
MAE 6 1
MAE 6 2
MAE 6 4
MAE 6 5
MAE 6 7
MAE 6 8
MAE 6 9
MAE 6 10
MAE 6 11
MAE 6 12
MAE 6 13
MAE 6 14
MAE 6 17
MAE 6 18
MAE 6 19
MAE 6 20
MAE 8 6
MAE 9 6
MAE 9 7
MAE 10 6
MAE 13 6
MAE 17 6
MAE 17 7
MAE 19 6
MAE 19 7
SAE 16 15 4
SAE 16 15 20
SAE 16 15 18
SAE 16 15 12
SAE 16 15 11
SAE 16 15 3
SAE 16 15 5
SAE 16 15 7
SAE 16 19 4
SAE 16 19 20
SAE 16 19 18
SAE 16 19 12
SAE 16 19 14
SAE 16 19 15
SAE 16 19 11
SAE 16 19 3
SAE 16 19 5
SAE 16 19 7
SAE 4 5 16
SAE 4 5 20
SAE 4 5 18
SAE 4 5 12
SAE 4 5 14
SAE 4 5 15
SAE 4 5 11
SAE 4 5 3
SAE 4 5 7
SAE 4 6 16
SAE 4 6 20
SAE 4 6 18
SAE 4 6 12
SAE 4 6 14
SAE 4 6 15
SAE 4 6 11
SAE 4 6 3
SAE 4 6 5
SAE 4 6 7
SAE 4 8 16
SAE 4 8 20
SAE 4 8 18
SAE 4 8 12
SAE 4 8 14
SAE 4 8 15
SAE 4 8 11
SAE 4 8 3
SAE 4 8 5
SAE 4 8 7
SAE 4 9 16
SAE 4 9 20
SAE 4 9 18
SAE 4 9 12
SAE 4 9 14
SAE 4 9 15
SAE 4 9 11
SAE 4 9 3
SAE 4 9 5
SAE 4 9 7
SAE 4 11 16
SAE 4 11 20
SAE 4 11 18
SAE 4 11 12
SAE 4 11 14
SAE 4 11 15
SAE 4 11 3
SAE 4 11 5
SAE 4 11 7
SAE 4 13 16
SAE 4 13 20
SAE 4 13 18
SAE 4 13 12
SAE 4 13 14
SAE 4 13 15
SAE 4 13 11
SAE 4 13 3
SAE 4 13 5
SAE 4 13 7
SAE 4 17 16
SAE 4 17 20
SAE 4 17 18
SAE 4 17 12
SAE 4 17 14
SAE 4 17 15
SAE 4 17 11
SAE 4 17 3
SAE 4 17 5
SAE 4 17 7
SAE 4 18 16
SAE 4 18 20
SAE 4 18 12
SAE 4 18 14
SAE 4 18 15
SAE 4 18 11
SAE 4 18 3
SAE 4 18 5
SAE 4 18 7
SAE 20 1 16
SAE 20 1 4
SAE 20 1 18
SAE 20 1 12
SAE 20 1 14
SAE 20 1 15
SAE 20 1 11
SAE 20 1 3
SAE 20 1 5
SAE 20 1 7
SAE 20 3 16
SAE 20 3 4
SAE 20 3 18
SAE 20 3 12
SAE 20 3 14
SAE 20 3 15
SAE 20 3 11
SAE 20 3 5
SAE 20 3 7
SAE 20 6 16
SAE 20 6 4
SAE 20 6 18
SAE 20 6 12
SAE 20 6 14
SAE 20 6 15
SAE 20 6 11
SAE 20 6 3
SAE 20 6 5
SAE 20 6 7
SAE 20 7 16
SAE 20 7 4
SAE 20 7 18
SAE 20 7 12
SAE 20 7 14
SAE 20 7 15
SAE 20 7 11
SAE 20 7 3
SAE 20 7 5
SAE 20 11 16
SAE 20 11 4
SAE 20 11 18
SAE 20 11 12
SAE 20 11 14
SAE 20 11 15
SAE 20 11 3
SAE 20 11 5
SAE 20 11 7
SAE 20 13 16
SAE 20 13 4
SAE 20 13 18
SAE 20 13 12
SAE 20 13 14
SAE 20 13 15
SAE 20 13 11
SAE 20 13 3
SAE 20 13 5
SAE 20 13 7
SAE 20 19 16
SAE 20 19 4
SAE 20 19 18
SAE 20 19 12
SAE 20 19 14
SAE 20 19 15
SAE 20 19 11
SAE 20 19 3
SAE 20 19 5
SAE 20 19 7
SAE 18 4 16
SAE 18 4 20
SAE 18 4 12
SAE 18 4 14
SAE 18 4 15
SAE 18 4 11
SAE 18 4 3
SAE 18 4 5
SAE 18 4 7
SAE 18 5 16
SAE 18 5 4
SAE 18 5 20
SAE 18 5 12
SAE 18 5 14
SAE 18 5 15
SAE 18 5 11
SAE 18 5 3
SAE 18 5 7
SAE 18 6 16
SAE 18 6 4
SAE 18 6 20
SAE 18 6 12
SAE 18 6 14
SAE 18 6 15
SAE 18 6 11
SAE 18 6 3
SAE 18 6 5
SAE 18 6 7
SAE 18 8 16
SAE 18 8 4
SAE 18 8 20
SAE 18 8 12
SAE 18 8 14
SAE 18 8 15
SAE 18 8 11
SAE 18 8 3
SAE 18 8 5
SAE 18 8 7
SAE 18 9 16
SAE 18 9 4
SAE 18 9 20
SAE 18 9 12
SAE 18 9 14
SAE 18 9 15
SAE 18 9 11
SAE 18 9 3
SAE 18 9 5
SAE 18 9 7
SAE 18 10 16
SAE 18 10 4
SAE 18 10 20
SAE 18 10 12
SAE 18 10 14
SAE 18 10 15
SAE 18 10 11
SAE 18 10 3
SAE 18 10 5
SAE 18 10 7
SAE 18 13 16
SAE 18 13 4
SAE 18 13 20
SAE 18 13 12
