MVE 3
MAE 18 1
MAE 18 3
MAE 18 5
MAE 18 6
MAE 18 7
MAE 18 8
MAE 18 9
MAE 18 12
MAE 18 13
MAE 18 17
MAE 18 23
MAE 18 27
MAE 18 29
MAE 18 31
MAE 18 33
MAE 18 38
MAE 18 39
MAE 18 42
MAE 18 43
MAE 18 44
MAE 18 46
MAE 18 49
MAE 18 51
MAE 18 52
MAE 18 54
MAE 18 56
MAE 18 57
MAE 18 59
MAE 18 63
MAE 18 66
MAE 18 67
MAE 18 68
MAE 18 74
MAE 18 77
MAE 18 79
MAE 18 81
MAE 18 84
MAE 19 5
MAE 19 6
MAE 19 7
MAE 19 8
MAE 19 11
MAE 19 13
MAE 19 14
MAE 19 16
MAE 19 20
MAE 19 23
MAE 19 29
MAE 19 30
MAE 19 34
MAE 19 40
MAE 19 41
MAE 19 52
MAE 19 54
MAE 19 59
MAE 19 63
MAE 19 66
MAE 19 67
MAE 19 68
MAE 19 71
MAE 19 73
MAE 19 74
MAE 19 77
MAE 19 81
MAE 20 1
MAE 20 3
MAE 20 5
MAE 20 6
MAE 20 7
MAE 20 8
MAE 20 9
MAE 20 11
MAE 20 13
MAE 20 14
MAE 20 16
MAE 20 17
MAE 20 19
MAE 20 21
MAE 20 23
MAE 20 25
MAE 20 26
MAE 20 27
MAE 20 29
MAE 20 30
MAE 20 34
MAE 20 40
MAE 20 41
MAE 20 42
MAE 20 47
MAE 20 52
MAE 20 54
MAE 20 55
MAE 20 59
MAE 20 63
MAE 20 64
MAE 20 66
MAE 20 67
MAE 20 68
MAE 20 71
MAE 20 72
MAE 20 73
MAE 20 74
MAE 20 77
MAE 20 81
MAE 20 85
MAE 22 1
MAE 22 3
MAE 22 5
MAE 22 6
MAE 22 7
MAE 22 8
MAE 22 12
MAE 22 23
MAE 22 25
MAE 22 27
MAE 22 31
MAE 22 33
MAE 22 37
MAE 22 43
MAE 22 44
MAE 22 46
MAE 22 49
MAE 22 51
MAE 22 54
MAE 22 59
MAE 22 63
MAE 22 64
MAE 22 65
MAE 22 66
MAE 22 67
MAE 22 68
MAE 22 77
MAE 22 81
MAE 24 1
MAE 24 3
MAE 24 4
MAE 24 5
MAE 24 6
MAE 24 7
MAE 24 8
MAE 24 9
MAE 24 12
MAE 24 17
MAE 24 18
MAE 24 22
MAE 24 26
MAE 24 30
MAE 24 31
MAE 24 33
MAE 24 35
MAE 24 36
MAE 24 38
MAE 24 39
MAE 24 40
MAE 24 41
MAE 24 42
MAE 24 43
MAE 24 46
MAE 24 49
MAE 24 51
MAE 24 52
MAE 24 53
MAE 24 54
MAE 24 56
MAE 24 59
MAE 24 61
MAE 24 66
MAE 24 67
MAE 24 68
MAE 24 74
MAE 24 75
MAE 24 79
MAE 24 81
MAE 24 84
MAE 25 1
MAE 25 3
MAE 25 5
MAE 25 6
MAE 25 7
MAE 25 8
MAE 25 9
MAE 25 11
MAE 25 12
MAE 25 13
MAE 25 14
MAE 25 16
MAE 25 17
MAE 25 18
MAE 25 19
MAE 25 20
MAE 25 21
MAE 25 22
MAE 25 23
MAE 25 26
MAE 25 27
MAE 25 29
MAE 25 30
MAE 25 31
MAE 25 33
MAE 25 34
MAE 25 36
MAE 25 37
MAE 25 40
MAE 25 41
MAE 25 42
MAE 25 44
MAE 25 47
MAE 25 50
MAE 25 51
MAE 25 52
MAE 25 53
MAE 25 54
MAE 25 55
MAE 25 59
MAE 25 63
MAE 25 64
MAE 25 65
MAE 25 66
MAE 25 67
MAE 25 68
MAE 25 70
MAE 25 71
MAE 25 72
MAE 25 73
MAE 25 74
MAE 25 76
MAE 25 77
MAE 25 79
MAE 25 81
MAE 25 83
MAE 25 85
MAE 25 86
MAE 26 1
MAE 26 3
MAE 26 5
MAE 26 6
MAE 26 7
MAE 26 8
MAE 26 9
MAE 26 10
MAE 26 11
MAE 26 12
MAE 26 13
MAE 26 14
MAE 26 15
MAE 26 16
MAE 26 17
MAE 26 18
MAE 26 19
MAE 26 20
MAE 26 21
MAE 26 22
MAE 26 23
MAE 26 24
MAE 26 25
MAE 26 27
MAE 26 29
MAE 26 30
MAE 26 31
MAE 26 32
MAE 26 33
MAE 26 34
MAE 26 35
MAE 26 36
MAE 26 37
MAE 26 38
MAE 26 39
MAE 26 40
MAE 26 41
MAE 26 42
MAE 26 43
MAE 26 44
MAE 26 46
MAE 26 47
MAE 26 49
MAE 26 50
MAE 26 51
MAE 26 52
MAE 26 53
MAE 26 54
MAE 26 55
MAE 26 56
MAE 26 57
MAE 26 59
MAE 26 61
MAE 26 63
MAE 26 64
MAE 26 65
MAE 26 66
MAE 26 67
MAE 26 68
MAE 26 69
MAE 26 70
MAE 26 71
MAE 26 72
MAE 26 73
MAE 26 74
MAE 26 77
MAE 26 79
MAE 26 81
MAE 26 84
MAE 26 85
MAE 26 86
MAE 27 1
MAE 27 2
MAE 27 5
MAE 27 6
MAE 27 7
MAE 27 8
MAE 27 10
MAE 27 11
MAE 27 12
MAE 27 13
MAE 27 14
MAE 27 15
MAE 27 16
MAE 27 18
