MAE 1 8
MAE 2 1
MAE 2 7
MAE 7 1
MAE 7 2
MAE 8 1
MAE 10 1
SAE 9 5 6
SAE 9 5 3
SAE 6 1 9
SAE 6 1 5
SAE 6 1 3
SAE 6 2 9
SAE 6 2 5
SAE 6 2 3
SAE 6 7 9
SAE 6 7 5
SAE 6 7 3
SAE 5 1 9
SAE 5 1 3
SAE 5 3 9
SAE 5 3 6
SAE 5 8 9
SAE 5 8 6
SAE 5 8 3
SAE 5 9 6
SAE 5 9 3
SAE 5 10 9
SAE 5 10 6
SAE 5 10 3
SAE 1 2 9
SAE 1 2 6
SAE 1 2 5
SAE 1 2 3
SAE 1 5 9
SAE 1 5 6
SAE 1 5 3
SAE 1 6 9
SAE 1 6 5
SAE 1 6 3
SAE 1 7 9
SAE 1 7 6
SAE 1 7 5
SAE 1 7 3
SAE 1 8 9
SAE 1 8 6
SAE 1 8 5
SAE 1 8 3
SAE 1 10 9
SAE 1 10 6
SAE 1 10 5
SAE 1 10 3
SAE 2 1 9
SAE 2 1 6
SAE 2 1 5
SAE 2 1 3
SAE 2 6 9
SAE 2 6 5
SAE 2 6 3
SAE 2 7 9
SAE 2 7 6
SAE 2 7 5
SAE 2 7 3
SAE 7 1 9
SAE 7 1 6
SAE 7 1 5
SAE 7 1 3
SAE 7 2 9
SAE 7 2 6
SAE 7 2 5
SAE 7 2 3
SAE 7 6 9
SAE 7 6 5
SAE 7 6 3
SAE 8 1 9
SAE 8 1 6
SAE 8 1 5
SAE 8 1 3
SAE 8 5 9
SAE 8 5 6
SAE 8 5 3
SAE 8 10 9
SAE 8 10 6
SAE 8 10 5
SAE 8 10 3
SAE 10 1 9
SAE 10 1 6
SAE 10 1 5
SAE 10 1 3
SAE 10 5 9
SAE 10 5 6
SAE 10 5 3
SAE 10 8 9
SAE 10 8 6
SAE 10 8 5
SAE 10 8 3
