MAE 1 8
MAE 1 17
MAE 7 10
MAE 7 17
MAE 8 1
MAE 8 9
MAE 8 17
MAE 8 24
MAE 11 3
MAE 11 4
MAE 11 15
MAE 11 16
MAE 11 26
MAE 11 28
MAE 12 10
MAE 12 14
MAE 12 17
MAE 13 1
MAE 13 3
MAE 13 5
MAE 13 9
MAE 13 10
MAE 13 15
MAE 13 22
MAE 13 26
MAE 13 28
MAE 16 11
MAE 16 15
MAE 16 26
MAE 22 5
MAE 22 9
MAE 22 10
MAE 22 13
MAE 22 17
MAE 22 18
MAE 22 19
MAE 22 28
MAE 27 26
MAE 29 26
SAE 3 4 14
SAE 3 4 24
SAE 3 4 21
SAE 3 4 18
SAE 3 4 15
SAE 3 4 17
SAE 3 4 2
SAE 3 4 9
SAE 3 4 6
SAE 3 4 26
SAE 3 4 10
SAE 3 4 5
SAE 3 4 28
SAE 3 4 25
SAE 3 5 14
SAE 3 5 24
SAE 3 5 21
SAE 3 5 18
SAE 3 5 15
SAE 3 5 17
SAE 3 5 2
SAE 3 5 9
SAE 3 5 6
SAE 3 5 26
SAE 3 5 10
SAE 3 5 28
SAE 3 5 25
SAE 3 5 4
SAE 3 11 14
SAE 3 11 24
SAE 3 11 21
SAE 3 11 18
SAE 3 11 15
SAE 3 11 17
SAE 3 11 2
SAE 3 11 9
SAE 3 11 6
SAE 3 11 26
SAE 3 11 10
SAE 3 11 5
SAE 3 11 28
SAE 3 11 25
SAE 3 11 4
SAE 3 13 14
SAE 3 13 24
SAE 3 13 21
SAE 3 13 18
SAE 3 13 15
SAE 3 13 17
SAE 3 13 2
SAE 3 13 9
SAE 3 13 6
SAE 3 13 26
SAE 3 13 10
SAE 3 13 5
SAE 3 13 28
SAE 3 13 25
SAE 3 13 4
SAE 3 15 14
SAE 3 15 24
SAE 3 15 21
SAE 3 15 18
SAE 3 15 17
SAE 3 15 2
SAE 3 15 9
SAE 3 15 6
SAE 3 15 26
SAE 3 15 10
SAE 3 15 5
SAE 3 15 28
SAE 3 15 25
SAE 3 15 4
SAE 3 16 14
SAE 3 16 24
SAE 3 16 21
SAE 3 16 18
SAE 3 16 15
SAE 3 16 17
SAE 3 16 2
SAE 3 16 9
