MAE 5 17
MAE 8 1
MAE 8 12
MAE 8 14
MAE 8 17
MAE 8 24
MAE 8 36
MAE 8 40
MAE 9 24
MAE 9 36
MAE 12 8
MAE 12 10
MAE 12 14
MAE 12 17
MAE 12 24
MAE 12 36
MAE 12 38
MAE 12 40
MVE 14
MAE 16 11
MVE 17
MAE 18 1
MAE 18 22
MAE 19 1
MAE 19 22
MAE 20 1
MAE 20 9
MAE 21 8
MAE 21 10
MAE 21 12
MAE 21 14
MAE 21 17
MAE 21 24
MAE 21 32
MAE 21 38
MAE 21 40
MAE 23 1
MAE 23 9
MAE 26 13
MAE 28 22
MAE 39 1
MAE 39 34
SAE 34 1 7
SAE 34 1 37
SAE 34 1 13
SAE 34 1 33
SAE 34 1 15
SAE 34 1 3
SAE 34 1 27
SAE 34 1 24
SAE 34 1 10
SAE 34 1 31
SAE 34 1 40
SAE 34 1 36
SAE 34 1 6
SAE 34 1 32
SAE 34 1 38
SAE 34 1 2
SAE 34 1 30
SAE 34 1 11
SAE 34 1 22
SAE 34 6 7
SAE 34 6 37
SAE 34 6 13
SAE 34 6 33
SAE 34 6 15
SAE 34 6 3
SAE 34 6 27
SAE 34 6 24
SAE 34 6 10
SAE 34 6 31
SAE 34 6 40
SAE 34 6 36
SAE 34 6 1
SAE 34 6 32
SAE 34 6 38
SAE 34 6 2
SAE 34 6 30
SAE 34 6 11
SAE 34 6 22
SAE 34 7 37
SAE 34 7 13
SAE 34 7 33
SAE 34 7 15
SAE 34 7 3
SAE 34 7 27
SAE 34 7 24
SAE 34 7 10
SAE 34 7 31
SAE 34 7 40
SAE 34 7 36
SAE 34 7 1
SAE 34 7 6
SAE 34 7 32
SAE 34 7 38
SAE 34 7 2
SAE 34 7 30
SAE 34 7 11
SAE 34 7 22
SAE 34 9 7
SAE 34 9 37
SAE 34 9 13
SAE 34 9 33
SAE 34 9 15
SAE 34 9 3
SAE 34 9 27
SAE 34 9 24
SAE 34 9 10
SAE 34 9 31
SAE 34 9 40
SAE 34 9 36
SAE 34 9 1
SAE 34 9 6
SAE 34 9 32
SAE 34 9 38
SAE 34 9 2
SAE 34 9 30
SAE 34 9 11
SAE 34 9 22
SAE 34 19 7
SAE 34 19 37
SAE 34 19 13
SAE 34 19 33
SAE 34 19 15
SAE 34 19 3
SAE 34 19 27
SAE 34 19 24
SAE 34 19 10
SAE 34 19 31
SAE 34 19 40
SAE 34 19 36
SAE 34 19 1
SAE 34 19 6
SAE 34 19 32
SAE 34 19 38
SAE 34 19 2
SAE 34 19 30
SAE 34 19 11
SAE 34 19 22
SAE 34 23 7
SAE 34 23 37
SAE 34 23 13
SAE 34 23 33
SAE 34 23 15
SAE 34 23 3
SAE 34 23 27
SAE 34 23 24
SAE 34 23 10
SAE 34 23 31
SAE 34 23 40
SAE 34 23 36
SAE 34 23 1
SAE 34 23 6
SAE 34 23 32
SAE 34 23 38
SAE 34 23 2
SAE 34 23 30
SAE 34 23 11
SAE 34 23 22
SAE 34 24 7
SAE 34 24 37
SAE 34 24 13
SAE 34 24 33
SAE 34 24 15
SAE 34 24 3
SAE 34 24 27
SAE 34 24 10
SAE 34 24 31
SAE 34 24 40
SAE 34 24 36
SAE 34 24 1
SAE 34 24 6
SAE 34 24 32
SAE 34 24 38
SAE 34 24 2
SAE 34 24 30
SAE 34 24 11
SAE 34 24 22
SAE 34 30 7
SAE 34 30 37
SAE 34 30 13
SAE 34 30 33
SAE 34 30 15
SAE 34 30 3
SAE 34 30 27
SAE 34 30 24
SAE 34 30 10
SAE 34 30 31
SAE 34 30 40
SAE 34 30 36
SAE 34 30 1
SAE 34 30 6
SAE 34 30 32
SAE 34 30 38
SAE 34 30 2
SAE 34 30 11
SAE 34 30 22
SAE 34 37 7
SAE 34 37 13
SAE 34 37 33
